"name","pval","adj_pval","f_statistic","df1","df2","lfc"
"ZNF443",0.970527394165195,0.996810762535326,0.00136537273399307,1,2249.08218817443,0.0561246103631671
"HK2",0.970648397959381,0.996810762535326,0.00135417924790821,1,2249.08218817443,0.00901223810730581
"RTL10",0.970840348678432,0.996810762535326,0.00133651743608099,1,2249.08218817443,0.0320083213463395
"IKZF4",0.971150401643394,0.996810762535326,0.00130823397250482,1,2249.08218817443,0.0241953097130193
"AP1G1",0.971157588726097,0.996810762535326,0.00130758194851624,1,2249.08218817443,0.00762541357532169
"CLEC1A",0.971220698484176,0.996810762535326,0.00130186351573219,1,2249.08218817443,0.023064749943358
"GTPBP8",0.97122142177511,0.996810762535326,0.00130179805040947,1,2249.08218817443,0.0143779325694329
"URB2",0.97143282788375,0.996810762535326,0.00128273424897944,1,2249.08218817443,-0.0392179933502118
"ZNF717",0.971496563829988,0.996810762535326,0.00127701440630033,1,2249.08218817443,-0.0184025854646246
"NBPF9",0.971721986498162,0.996810762535326,0.00125688701622449,1,2249.08218817443,-0.0235260374163339
"WDR43",0.971723504081374,0.996810762535326,0.00125675205773147,1,2249.08218817443,0.010842797482951
"RELA",0.971757169513134,0.996810762535326,0.00125376006055041,1,2249.08218817443,0.0122776168184785
"DCUN1D1",0.971792416901906,0.996810762535326,0.00125063129367903,1,2249.08218817443,-0.00791292349901988
"METTL8",0.971817148787284,0.996810762535326,0.00124843828161174,1,2249.08218817443,0.0131988677762357
"AC073111.4",0.971830053276137,0.996810762535326,0.00124729478689006,1,2249.08218817443,0.0376669998568362
"NSMCE3",0.971855692443782,0.996810762535326,0.00124502440121028,1,2249.08218817443,-0.0176491159876752
"RTEL1",0.971904424978227,0.996810762535326,0.00124071477275539,1,2249.08218817443,0.0242741177613786
"SLC20A2",0.972052885033468,0.996810762535326,0.00122763191865731,1,2249.08218817443,0.0106594663693486
"ZNF766",0.972086600686654,0.996810762535326,0.00122467044351628,1,2249.08218817443,-0.0122818755264311
"UBE3C",0.972107347785049,0.996810762535326,0.00122284986441212,1,2249.08218817443,-0.00674398934050906
"DNAH1",0.9721806390684,0.996810762535326,0.00121642933446241,1,2249.08218817443,0.0194936860996435
"KLHL18",0.972303104655204,0.996810762535326,0.00120573874974377,1,2249.08218817443,-0.0107522383021493
"CPNE9",0.972374602521303,0.996810762535326,0.00119951921322666,1,2249.08218817443,-0.051945487652571
"YWHAQ",0.972427674953631,0.996810762535326,0.00119491290119341,1,2249.08218817443,0.0079587580345603
"FDPS",0.972435863130788,0.996810762535326,0.00119420301528129,1,2249.08218817443,-0.0107539791707112
"RNF26",0.972468091288766,0.996810762535326,0.0011914109996911,1,2249.08218817443,0.0208194736435203
"MYSM1",0.97254629845284,0.996810762535326,0.00118464929608888,1,2249.08218817443,-0.00886836582001251
"RBM5",0.972620325221748,0.996810762535326,0.00117826677261637,1,2249.08218817443,0.00714978882578265
"ODF2",0.97264810703708,0.996810762535326,0.0011758759030898,1,2249.08218817443,-0.0210733718381356
"TMEM187",0.972668706063985,0.996810762535326,0.00117410474516273,1,2249.08218817443,0.0252907745732736
"SLTM",0.972818972163356,0.996850617850225,0.00116122490906694,1,2249.08218817443,0.00571581350641447
"SUGP1",0.972862856701115,0.996850617850225,0.00115747682862935,1,2249.08218817443,-0.0140836324855212
"BPNT1",0.973189368034011,0.996864593796562,0.00112978067363005,1,2249.08218817443,-0.016998322837977
"TLR7",0.973194441113167,0.996864593796562,0.00112935300124986,1,2249.08218817443,-0.035214618820148
"SKI",0.973221295931974,0.996864593796562,0.00112709042769443,1,2249.08218817443,-0.0159421225829134
"SPRYD4",0.973259115160383,0.996864593796562,0.00112390793171732,1,2249.08218817443,-0.0200868065904529
"NEK3",0.973339743773027,0.996864593796562,0.00111713805573073,1,2249.08218817443,0.0196744290084185
"WDR6",0.973415807366685,0.996864593796562,0.00111077024330091,1,2249.08218817443,-0.0154800626231396
"MED18",0.97347054793646,0.996864593796562,0.0011061988043993,1,2249.08218817443,-0.0223364591308215
"NGRN",0.973562388454281,0.996864593796562,0.00109855030999514,1,2249.08218817443,0.0114314856136921
"ZNF273",0.973678122883785,0.996864593796562,0.00108894975394912,1,2249.08218817443,-0.0242618525073622
"RAB13",0.973768327831426,0.996864593796562,0.00108149620384281,1,2249.08218817443,0.00501779129498749
"SLC36A4",0.973774634934037,0.996864593796562,0.00108097601232742,1,2249.08218817443,-0.00712117526141603
"ZNF385D",0.973909001659677,0.996864593796562,0.00106992359651268,1,2249.08218817443,-0.04145573292469
"CAPNS1",0.973980110655475,0.996864593796562,0.00106409748884675,1,2249.08218817443,0.00638660933028119
"ZBTB17",0.973994793238142,0.996864593796562,0.00106289649766814,1,2249.08218817443,-0.0151014922034552
"IL6R",0.974040967087102,0.996864593796562,0.00105912403972754,1,2249.08218817443,0.00669409483523614
"TCF3",0.974231597038838,0.99697401982362,0.00104362042210219,1,2249.08218817443,-0.0159461335427103
